Item Code,Country Code,Item Name,Price Level,Selling Price,Qualifying Price,Taxable Price,Commission,Retails Commissions,Product Pack Bonus,Reail Value Volume,For Promotions
SHATMAS,USA,Hair TMasque - Invalid,3,10,10,10,0,0,0,10,10
SHEHMAS,CAN,Heavenly HMasque - Invalid,1,13,10,13,0,0,0,13,13
SHEHMAS,CAN,Heavenly HMasque - Invalid,3,13,10,13,0,0,0,13,13
SHEHMAS,USA,Heavenly HMasque - Invalid,1,10,10,10,0,0,0,10,10
SHEHMAS,USA,Heavenly HMasque - Invalid,3,10,10,10,0,0,0,10,10
SHIPABI,GBR,Shipping for Business Bag,1,3.95,0,3.95,0,0,0,0,3.95
SHIPGLP,CAN,Shipping for Glam Pack,1,10,0,10,0,0,0,0,10
SHIPGLP,USA,Shipping for Glam Pack,1,7,0,7,0,0,0,0,7
SHIPIPAD,CAN,Shipping for iPad (June),1,13,0,13,0,0,0,0,13
SHIPIPAD,USA,Shipping for iPad (June),1,10,0,10,0,0,0,0,10
SHIPIPAD2,CAN,Shipping for iPad (July),1,13,0,13,0,0,0,0,13
SHIPIPAD2,USA,Shipping for iPad (July),1,10,0,10,0,0,0,0,10
SHIPRTCHR,CAN,Shipping for RejuvaTrio (February),1,6,0,6,0,0,0,0,6
SHIPRTCHR,USA,Shipping for RejuvaTrio (February),1,5,0,5,0,0,0,0,5
SHIPRTDEC,CAN,Shipping for Rejuvatrio (December),1,6,0,6,0,0,0,0,6
SHIPRTDEC,USA,Shipping for Rejuvatrio (December),1,5,0,5,0,0,0,0,5
SHIPRTRIO,CAN,Shipping For ReujaTrio (November),1,6,0,6,0,0,0,0,6
SHIPRTRIO,USA,Shipping For ReujaTrio (November),1,5,0,5,0,0,0,0,5
SHIPSMPPKE,CAN,Shipping for Sample Pack (English),1,7,0,7,0,0,0,0,7
SHIPSMPPKE,USA,Shipping for Sample Pack (English),1,5,0,5,0,0,0,0,5
SHIPSMPPKF,CAN,Shipping for Sample Pack (French),1,7,0,7,0,0,0,0,7
SHIPSOTG,CAN,Shipping Stylin' On the Go Set (June),1,13,0,13,0,0,0,0,13
